Operator,Pressure,Garment,Repeat,Sample,Area.mm2
Operator 1,gentle,G1,R1,1,20.465815176559
Operator 1,gentle,G1,R1,2,13.328324567994
Operator 1,gentle,G1,R1,3,14.267468069121
Operator 1,gentle,G1,R1,4,8.16679188580015
Operator 1,gentle,G1,R1,5,3.86175807663411
Operator 1,gentle,G1,R1,6,2.29902329075883
Operator 1,gentle,G1,R2,1,16.5289256198347
Operator 1,gentle,G1,R2,2,9.7595792637115
Operator 1,gentle,G1,R2,3,16.168294515402
Operator 1,gentle,G1,R2,4,14.3425995492111
Operator 1,gentle,G1,R2,5,6.9045830202855
Operator 1,gentle,G1,R2,6,6.25845229151014
Operator 1,gentle,G1,R3,1,10.0525920360631
Operator 1,gentle,G1,R3,2,7.9038317054846
Operator 1,gentle,G1,R3,3,5.74004507888805
Operator 1,gentle,G1,R3,4,7.55071374906086
Operator 1,gentle,G1,R3,5,7.92637114951165
Operator 1,gentle,G1,R3,6,12.4117205108941
Operator 1,gentle,G2,R1,1,3.64387678437265
Operator 1,gentle,G2,R1,2,3.45604808414726
Operator 1,gentle,G2,R1,3,7.22764838467318
Operator 1,gentle,G2,R1,4,16.3260706235913
Operator 1,gentle,G2,R1,5,14.1096919609316
Operator 1,gentle,G2,R1,6,15.5371900826446
Operator 1,gentle,G2,R2,1,17.7084898572502
Operator 1,gentle,G2,R2,2,12.4267468069121
Operator 1,gentle,G2,R2,3,8.97821187077385
Operator 1,gentle,G2,R2,4,6.39368895567243
Operator 1,gentle,G2,R2,5,5.58978211870774
Operator 1,gentle,G2,R2,6,5.52967693463561
Operator 1,gentle,G2,R3,1,9.45154019534185
Operator 1,gentle,G2,R3,2,13.6138241923366
Operator 1,gentle,G2,R3,3,9.31630353117957
Operator 1,gentle,G2,R3,4,12.1863260706236
Operator 1,gentle,G2,R3,5,6.10067618332081
Operator 1,gentle,G2,R3,6,6.31855747558227
Operator 4,gentle,G1,R1,1,14.9436513899324
Operator 4,gentle,G1,R1,2,17.0848985725019
Operator 4,gentle,G1,R1,3,8.09166040570999
Operator 4,gentle,G1,R1,4,14.0946656649136
Operator 4,gentle,G1,R1,5,13.1329827197596
Operator 4,gentle,G1,R1,6,12.9151014274981
Operator 4,gentle,G1,R2,1,14.3275732531931
Operator 4,gentle,G1,R2,2,21.7430503380917
Operator 4,gentle,G1,R2,3,16.5439519158527
Operator 4,gentle,G1,R2,4,18.2569496619083
Operator 4,gentle,G1,R2,5,17.8737791134485
Operator 4,gentle,G1,R2,6,21.7580766341097
Operator 4,gentle,G1,R3,1,11.45003756574
Operator 4,gentle,G1,R3,2,6.99474079639369
Operator 4,gentle,G1,R3,3,17.1149511645379
Operator 4,gentle,G1,R3,4,12.2389181066867
Operator 4,gentle,G1,R3,5,14.6055597295267
Operator 4,gentle,G1,R3,6,10.7438016528926
Operator 4,gentle,G2,R1,1,10.8715251690458
Operator 4,gentle,G2,R1,2,10.8264462809917
Operator 4,gentle,G2,R1,3,9.7145003756574
Operator 4,gentle,G2,R1,4,8.22689706987228
Operator 4,gentle,G2,R1,5,8.86551465063862
Operator 4,gentle,G2,R1,6,12.3441021788129
Operator 4,gentle,G2,R2,1,12.6371149511645
Operator 4,gentle,G2,R2,2,12.8324567993989
Operator 4,gentle,G2,R2,3,10.4057099924869
Operator 4,gentle,G2,R2,4,11.7580766341097
Operator 4,gentle,G2,R2,5,12.7873779113449
Operator 4,gentle,G2,R2,6,10.0976709241172
Operator 4,gentle,G2,R3,1,29.9624342599549
Operator 4,gentle,G2,R3,2,32.0586025544703
Operator 4,gentle,G2,R3,3,32.1262208865515
Operator 4,gentle,G2,R3,4,19.984973703982
Operator 4,gentle,G2,R3,5,14.0045078888054
Operator 4,gentle,G2,R3,6,8.72276483846732
Operator 5,gentle,G1,R1,1,7.38542449286251
Operator 5,gentle,G1,R1,2,6.06311044327573
Operator 5,gentle,G1,R1,3,7.16754320060105
Operator 5,gentle,G1,R1,4,8.27197595792637
Operator 5,gentle,G1,R1,5,4.53794139744553
Operator 5,gentle,G1,R1,6,5.67242674680691
Operator 5,gentle,G1,R2,1,9.15852742299023
Operator 5,gentle,G1,R2,2,6.37866265965439
Operator 5,gentle,G1,R2,3,2.50939143501127
Operator 5,gentle,G1,R2,4,4.44778362133734
Operator 5,gentle,G1,R2,5,3.9519158527423
Operator 5,gentle,G1,R2,6,6.58903080390684
Operator 5,gentle,G1,R3,1,5.70999248685199
Operator 5,gentle,G1,R3,2,9.45154019534185
Operator 5,gentle,G1,R3,3,13.4109691960932
Operator 5,gentle,G1,R3,4,12.862509391435
Operator 5,gentle,G1,R3,5,7.61081893313298
Operator 5,gentle,G1,R3,6,11.2321562734786
Operator 5,gentle,G2,R1,1,14.7182569496619
Operator 5,gentle,G2,R1,2,5.73253193087904
Operator 5,gentle,G2,R1,3,2.62208865514651
Operator 5,gentle,G2,R1,4,2.29151014274981
Operator 5,gentle,G2,R1,5,5.25920360631104
Operator 5,gentle,G2,R1,6,7.72351615326822
Operator 5,gentle,G2,R2,1,12.8324567993989
Operator 5,gentle,G2,R2,2,12.1187077385425
Operator 5,gentle,G2,R2,3,10.946656649136
Operator 5,gentle,G2,R2,4,5.85274229902329
Operator 5,gentle,G2,R2,5,6.46130728775357
Operator 5,gentle,G2,R2,6,7.96393688955672
Operator 5,gentle,G2,R3,1,10.7813673929376
Operator 5,gentle,G2,R3,2,7.70848985725019
Operator 5,gentle,G2,R3,3,11.7129977460556
Operator 5,gentle,G2,R3,4,7.49060856498873
Operator 5,gentle,G2,R3,5,6.93463561232156
Operator 5,gentle,G2,R3,6,5.48459804658152
